First Name,Last Name,Number of Recorded Visits ,Reward Points ,Preferred Payment Type ,Customer ID,Email ,Username,Password
Harry,Styles,0,0,Touchless,1,emailtest@something,test67,customPass
Alan,Garcia,0,0,Cash,2,emailtest@something,test68,customPass
Diana,Ochoa,0,0,Card,3,emailtest@something,test69,customPass
Gregorio ,Ortega,0,0,Touchless,4,emailtest@something,test70,customPass
Jonathan,Sigala,0,0,Cash,5,emailtest@something,test71,customPass
Hermione,Granger,0,0,Cash,6,emailtest@something,test72,customPass
Ariana,Grande,0,0,Card,7,emailtest@something,test73,customPass
Jack,Reacher,0,0,Touchless,8,emailtest@something,test74,customPass
Michael,Jackson,0,0,Cash,9,emailtest@something,test75,customPass
Ashley,Gilmore,0,0,Card,10,emailtest@something,test76,customPass
Chris,Evans,0,0,Touchless,11,emailtest@something,test77,customPass
Steve ,Rogers,0,0,Cash,12,emailtest@something,test78,customPass
Robert,Downey,0,0,Cash,13,emailtest@something,test79,customPass
Tony,Stark,0,0,Card,14,emailtest@something,test80,customPass
James,Rhodes,0,0,Touchless,15,emailtest@something,test81,customPass
Hank,Pym,0,0,Cash,16,emailtest@something,test82,customPass
Michael,Douglas,0,0,Card,17,emailtest@something,test83,customPass
Scott ,Lang,0,0,Touchless,18,emailtest@something,test84,customPass
Bruce,Banner,0,0,Cash,19,emailtest@something,test85,customPass
Joe,Budden,0,0,Cash,20,emailtest@something,test86,customPass
Tyrek,Mons,0,0,Card,21,emailtest@something,test87,customPass
Michael,Scott,0,0,Touchless,22,emailtest@something,test88,customPass
Jim ,Halpert,0,0,Cash,23,emailtest@something,test89,customPass
Tom ,Holland,0,0,Card,24,emailtest@something,test90,customPass
Peter,Griffin,0,0,Touchless,25,emailtest@something,test91,customPass
Timothee,Chalemet,0,0,Cash,26,emailtest@something,test92,customPass
Jack,Skellington,0,0,Cash,27,emailtest@something,test93,customPass
Tim,Jones,0,0,Card,28,emailtest@something,test94,customPass
Bob ,McCartney,0,0,Touchless,29,emailtest@something,test95,customPass
Patrick,Star,0,0,Cash,30,emailtest@something,test96,customPass
Chuck ,Dylan,0,0,Card,31,emailtest@something,test97,customPass
Jesus,Garcia,0,0,Touchless,32,emailtest@something,test98,customPass
Joni,Wonder,0,0,Cash,33,emailtest@something,test99,customPass
Towne,Zandt,0,0,Cash,34,emailtest@something,test100,customPass
Benny ,Andersson,0,0,Card,35,emailtest@something,test101,customPass
Tom ,Hall,0,0,Touchless,36,emailtest@something,test102,customPass
Christian,Suarez,0,0,Cash,37,emailtest@something,test103,customPass
Natalia,Villanueva,0,0,Card,38,emailtest@something,test104,customPass
Otis ,Blackwell,0,0,Touchless,39,emailtest@something,test105,customPass
John ,Prine,0,0,Cash,40,emailtest@something,test106,customPass
Paulie Jo,Gonzales,0,0,Cash,41,emailtest@something,test107,customPass
Felice ,Bryant ,0,0,Card,42,emailtest@something,test108,customPass
Cynthia ,Weill,0,0,Touchless,43,emailtest@something,test109,customPass
Sam ,Cooke ,0,0,Cash,44,emailtest@something,test110,customPass
Diego,Aguirre,0,0,Card,45,emailtest@something,test111,customPass
Valerie ,Simpson,0,0,Touchless,46,emailtest@something,test112,customPass
Isabella,Gaytan,0,0,Cash,47,emailtest@something,test113,customPass
Kristine ,Erickson,0,0,Cash,48,emailtest@something,test114,customPass
Paulina,Sandoval,0,0,Card,49,emailtest@something,test115,customPass
Rachael ,McAdams,0,0,Touchless,50,emailtest@something,test116,customPass
Robert,Glasper ,0,0,Touchless,51,emailtest@something,test117,customPass
Lucinda ,Williams ,0,0,Cash,52,emailtest@something,test118,customPass
Loretta ,Lynn,0,0,Card,53,emailtest@something,test119,customPass
Patti ,Smith,0,0,Cash,54,emailtest@something,test120,customPass
