First Name ,Last Name ,Employee Status,Title(ROLE),Pay-Rate,Gender,Hire-Date,Email,PhoneNumber
Bruce,Wayne,Part-time ,Owner,,Male ,4/2/00,employee@something,555-5555
Barry,Allen,Full time ,Manager,12.25,Male ,3/25/99,employee@something,555-5556
Paul,Dano,Full time,Server,9,Non-binary,2/28/94,employee@something,555-5557
Edward,Pattinson,Full time,Server,9,Male ,5/18/45,employee@something,555-5558
Rick,Sanchez,Full time,Server,9,Male ,9/4/03,employee@something,555-5559
Marshall,Eriksen,Full time,Host,8.5,Male ,2/7/73,employee@something,555-5560
Ted,Nicks ,Full time,Manager,12.25,Male ,3/25/82,employee@something,555-5561
Lily,Aldrin,Full time,Server,9,Female,8/12/99,employee@something,555-5562
Esther,Rodriguez,Full time,Supervisor,14,Female,2/17/96,employee@something,555-5563
Barney,Stinson,Full time,Server,9,Male ,8/7/79,employee@something,555-5564
Barry,Simpson,Part-time ,Host,8.5,Male ,4/28/96,employee@something,555-5565
Ivan,Berry,Part-time ,Manager,12.25,Male ,10/18/74,employee@something,555-5566
Tom ,Waits ,Part-time ,Server,9,Male ,12/13/01,employee@something,555-5567
Kurt ,Cobain,Part-time ,Server,9,Male ,7/4/01,employee@something,555-5568
William,Tell,Part-time ,Server,9,Male ,12/8/96,employee@something,555-5569
Sean,Combs,Full time,Host,8.5,Male ,2/6/74,employee@something,555-5570
Robin,Scherbatsky,Full time,Manager,12.25,Male ,5/3/84,employee@something,555-5571
Stella,Zinman,Full time,Server,9,Female,3/23/70,employee@something,555-5572
Victoria,Knowles,Full time,Supervisor,14,Female,6/4/72,employee@something,555-5573
George ,Wallace,Part-time ,Server,9,Male,4/30/73,employee@something,555-5574
Jose,Saldana,Full time,Host,8.5,Male ,4/9/88,employee@something,555-5575
Niel,Mejia,Full time,Manager,12.25,Male ,7/23/99,employee@something,555-5576
Mark,Zuckerberg,Part-time ,Server,9,Male ,6/11/86,employee@something,555-5577
Joel,Mchale,Part-time ,Server,9,Male ,8/25/94,employee@something,555-5578
Danny,Pudi,Part-time ,Server,9,Male ,4/10/85,employee@something,555-5579
Allison,Brie,Part-time ,Host,8.5,Female,10/4/89,employee@something,555-5580
Britta,Perry,Full time,Manager,12.25,Female,8/15/85,employee@something,555-5581
Willie,Dixon,Full time,Server,9,Male ,7/27/85,employee@something,555-5582
Bernie,Taupin,Full time,Supervisor,14,Male ,8/28/81,employee@something,555-5583
Barrett,Strong,Full time,Server,9,Male ,2/2/00,employee@something,555-5584
Abed,Nadir,Full time,Host,8.5,Male ,7/2/85,employee@something,555-5585
Chevy,Chase,Full time,Manager,12.25,Male ,1/3/70,employee@something,555-5586
Troy,Barnes,Part-time ,Server,9,Male ,5/4/71,employee@something,555-5587
Donald,Glover,Part-time ,Server,9,Male ,1/30/97,employee@something,555-5588
Pierce,Hawthorne,Part-time ,Server,9,Male ,4/16/73,employee@something,555-5589
Craig,Pelton,Part-time ,Host,8.5,Male ,11/27/76,employee@something,555-5590
Yvette,Brown,Part-time ,Manager,12.25,Female,8/13/88,employee@something,555-5591
Sly ,Stone,Part-time ,Server,9,Female,11/23/92,employee@something,555-5592
David ,Bowie,Full time,Supervisor,14,Male ,9/24/80,employee@something,555-5593
Dolly ,Parton,Full time,Server,9,Male ,4/22/97,employee@something,555-5594
Albert ,Greenfeld,Full time,Host,8.5,Male ,6/7/88,employee@something,555-5595
Woody,Gutherie ,Part-time ,Manager,12.25,Male ,1/17/01,employee@something,555-5596
William ,Delos,Full time,Server,9,Male ,4/22/94,employee@something,555-5597
Theodore,Flood,Full time,Server,9,Female,3/12/91,employee@something,555-5598
Jack,Black,Part-time ,Server,9,Male ,9/28/88,employee@something,555-5599
Ken,Jeong,Part-time ,Host,8.5,Male ,1/25/81,employee@something,555-5600
Shirley,Jones,Part-time ,Manager,12.25,Female,5/5/96,employee@something,555-5601
Henry,Ford,Part-time ,Server,9,Male ,8/19/85,employee@something,555-5602
Elsie,Hughes,Full time,Supervisor,14,Female,12/2/77,employee@something,555-5603
Dolores,Abernathy,Full time,Server,9,Female,2/2/88,employee@something,555-5604
Ellie ,GreenWich,Full time,Host,8.5,Female,1/17/91,employee@something,555-5605
